project_id,project_name,project_type,start_date,planned_end_date,actual_end_date,base_budget,contingency_budget,total_budget,actual_cost,progress_percentage,status,priority,risk_level,benefits_realized,key_milestones,stakeholders
CAPEX-000062,Safety Enhancement Project 62,Safety Enhancement,2020-09-20,2021-05-18,2021-05-18,4676220.79,250804.36,4927025.15,5210783.0,96.72,Completed,Low,Medium,"[""Improved operational efficiency"", ""Reduced maintenance costs"", ""Increased capacity""]","[""Design phase completed"", ""Equipment procurement"", ""Commissioning"", ""Installation completed"", ""Testing phase"", ""Project planning completed""]","[""Contractors"", ""Safety Department"", ""Maintenance Team"", ""Operations Team"", ""Local Community""]"
CAPEX-000063,Automation Project Project 63,Automation Project,2020-10-12,2021-09-07,2021-09-07,3621131.05,186156.62,3807287.67,3651207.35,86.74,Completed,High,High,"[""Cost savings"", ""Technology advancement"", ""Better environmental compliance"", ""Increased capacity"", ""Reduced maintenance costs""]","[""Commissioning"", ""Staff training"", ""Project planning completed"", ""Design phase completed""]","[""Contractors"", ""Safety Department"", ""Maintenance Team""]"
CAPEX-000064,Infrastructure Upgrade Project 64,Infrastructure Upgrade,2020-09-30,2021-12-24,2021-12-24,1254054.14,157227.87,1411282.01,1355379.96,99.08,Completed,Medium,High,"[""Better environmental compliance"", ""Improved operational efficiency"", ""Improved customer service"", ""Cost savings""]","[""Testing phase"", ""Design phase completed"", ""Installation completed"", ""Project handover"", ""Equipment procurement""]","[""Maintenance Team"", ""Regulatory Bodies"", ""Safety Department"", ""Local Community"", ""Contractors""]"
CAPEX-000065,Distribution Network Improvement Project 65,Distribution Network Improvement,2020-11-06,2021-06-04,,2329395.5,346809.24,2676204.74,2784291.69,87.47,On Track,Low,High,"[""Better environmental compliance"", ""Improved customer service"", ""Increased capacity""]","[""Project handover"", ""Testing phase"", ""Staff training"", ""Equipment procurement""]","[""Maintenance Team"", ""Operations Team"", ""Customer Service""]"
CAPEX-000066,Technology Implementation Project 66,Technology Implementation,2020-11-09,2022-07-02,2022-07-02,834276.67,69087.92,903364.59,834029.56,90.41,Completed,Low,High,"[""Enhanced safety measures"", ""Increased capacity"", ""Better environmental compliance"", ""Improved operational efficiency""]","[""Equipment procurement"", ""Testing phase"", ""Installation completed"", ""Staff training"", ""Project planning completed""]","[""Contractors"", ""Regulatory Bodies"", ""Safety Department"", ""Operations Team"", ""Environmental Team""]"
CAPEX-000067,Infrastructure Upgrade Project 67,Infrastructure Upgrade,2020-12-14,2021-09-10,2021-09-10,2933725.2,159973.04,3093698.24,2823779.2,86.89,Completed,High,Medium,"[""Increased capacity"", ""Better environmental compliance"", ""Enhanced safety measures""]","[""Commissioning"", ""Equipment procurement"", ""Installation completed"", ""Staff training""]","[""Local Community"", ""Operations Team"", ""Regulatory Bodies"", ""Customer Service""]"
CAPEX-000068,Distribution Network Improvement Project 68,Distribution Network Improvement,2020-12-11,2022-02-04,2022-02-04,681302.52,101708.03,783010.55,724652.31,87.86,Completed,High,Low,"[""Technology advancement"", ""Improved customer service"", ""Cost savings"", ""Increased capacity""]","[""Commissioning"", ""Project handover"", ""Design phase completed"", ""Staff training"", ""Installation completed""]","[""Safety Department"", ""Contractors"", ""Maintenance Team"", ""Operations Team""]"
CAPEX-000069,Infrastructure Upgrade Project 69,Infrastructure Upgrade,2020-12-16,2022-12-06,2022-12-06,2154278.93,272743.23,2427022.16,2191914.49,97.68,Completed,High,Low,"[""Improved operational efficiency"", ""Better environmental compliance"", ""Increased capacity"", ""Technology advancement"", ""Enhanced safety measures""]","[""Project planning completed"", ""Installation completed"", ""Commissioning"", ""Design phase completed"", ""Testing phase"", ""Project handover""]","[""Customer Service"", ""Maintenance Team"", ""Regulatory Bodies""]"
CAPEX-000070,Environmental Compliance Project 70,Environmental Compliance,2021-01-08,2022-10-30,2022-10-30,3885437.24,512249.24,4397686.48,4728619.71,84.74,Completed,Medium,Medium,"[""Improved operational efficiency"", ""Increased capacity"", ""Cost savings"", ""Enhanced safety measures""]","[""Commissioning"", ""Testing phase"", ""Installation completed"", ""Project planning completed"", ""Equipment procurement"", ""Staff training""]","[""Local Community"", ""Contractors"", ""Customer Service"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000071,Safety Enhancement Project 71,Safety Enhancement,2020-12-25,2021-12-20,2021-12-20,1944654.92,243940.64,2188595.57,2341508.77,89.47,Completed,Low,Low,"[""Improved operational efficiency"", ""Increased capacity"", ""Better environmental compliance"", ""Improved customer service""]","[""Equipment procurement"", ""Installation completed"", ""Design phase completed"", ""Project handover"", ""Staff training"", ""Commissioning""]","[""Maintenance Team"", ""Environmental Team"", ""Safety Department"", ""Operations Team"", ""Contractors""]"
CAPEX-000072,Infrastructure Upgrade Project 72,Infrastructure Upgrade,2020-12-29,2022-03-24,2022-03-24,3400992.41,375102.95,3776095.36,3540590.33,97.47,Completed,Medium,Low,"[""Increased capacity"", ""Improved operational efficiency"", ""Enhanced safety measures"", ""Improved customer service""]","[""Design phase completed"", ""Staff training"", ""Installation completed"", ""Project handover"", ""Testing phase"", ""Commissioning""]","[""Regulatory Bodies"", ""Local Community"", ""Safety Department""]"
CAPEX-000073,Safety Enhancement Project 73,Safety Enhancement,2021-01-04,2022-08-27,,3278734.57,265060.21,3543794.77,3815116.17,87.19,On Track,High,High,"[""Improved customer service"", ""Enhanced safety measures"", ""Reduced maintenance costs"", ""Technology advancement""]","[""Project planning completed"", ""Testing phase"", ""Design phase completed"", ""Staff training"", ""Project handover""]","[""Local Community"", ""Safety Department"", ""Maintenance Team"", ""Regulatory Bodies""]"
CAPEX-000074,Environmental Compliance Project 74,Environmental Compliance,2020-12-28,2022-03-23,2022-03-23,2891968.61,215662.78,3107631.39,3383256.26,91.01,Completed,Medium,Medium,"[""Technology advancement"", ""Better environmental compliance"", ""Enhanced safety measures"", ""Reduced maintenance costs"", ""Improved customer service""]","[""Project handover"", ""Design phase completed"", ""Testing phase"", ""Project planning completed""]","[""Operations Team"", ""Local Community"", ""Contractors"", ""Regulatory Bodies"", ""Customer Service""]"
CAPEX-000075,Distribution Network Improvement Project 75,Distribution Network Improvement,2021-02-15,2023-01-06,2023-01-06,1234023.62,148967.58,1382991.2,1384576.91,80.18,Completed,High,High,"[""Technology advancement"", ""Improved customer service"", ""Better environmental compliance"", ""Improved operational efficiency"", ""Increased capacity""]","[""Commissioning"", ""Project planning completed"", ""Project handover"", ""Testing phase"", ""Equipment procurement"", ""Installation completed""]","[""Operations Team"", ""Customer Service"", ""Regulatory Bodies"", ""Environmental Team""]"
CAPEX-000076,Distribution Network Improvement Project 76,Distribution Network Improvement,2021-01-23,2021-07-22,2021-07-22,2669488.47,197800.78,2867289.24,2725311.51,92.4,Completed,Medium,Medium,"[""Improved customer service"", ""Better environmental compliance"", ""Cost savings""]","[""Installation completed"", ""Staff training"", ""Design phase completed"", ""Equipment procurement"", ""Project planning completed"", ""Testing phase""]","[""Operations Team"", ""Contractors"", ""Environmental Team"", ""Regulatory Bodies"", ""Customer Service""]"
CAPEX-000077,Automation Project Project 77,Automation Project,2021-01-21,2022-12-12,2022-12-12,146305.85,9822.73,156128.58,154064.86,90.0,Completed,Low,Low,"[""Improved operational efficiency"", ""Enhanced safety measures"", ""Cost savings"", ""Increased capacity"", ""Better environmental compliance""]","[""Project planning completed"", ""Project handover"", ""Staff training"", ""Equipment procurement"", ""Commissioning""]","[""Regulatory Bodies"", ""Operations Team"", ""Maintenance Team""]"
CAPEX-000078,Distribution Network Improvement Project 78,Distribution Network Improvement,2021-02-13,2022-05-09,,4651487.21,371782.62,5023269.83,5090276.15,91.28,On Track,Low,High,"[""Cost savings"", ""Technology advancement"", ""Improved customer service"", ""Enhanced safety measures""]","[""Design phase completed"", ""Testing phase"", ""Staff training"", ""Equipment procurement"", ""Project planning completed"", ""Installation completed""]","[""Environmental Team"", ""Local Community"", ""Operations Team"", ""Safety Department""]"
CAPEX-000079,Safety Enhancement Project 79,Safety Enhancement,2021-03-15,2022-04-09,2022-04-09,245165.73,18959.33,264125.06,263628.68,99.85,Completed,Low,Medium,"[""Reduced maintenance costs"", ""Improved customer service"", ""Increased capacity"", ""Better environmental compliance""]","[""Testing phase"", ""Commissioning"", ""Design phase completed"", ""Project planning completed""]","[""Customer Service"", ""Maintenance Team"", ""Environmental Team""]"
CAPEX-000080,Distribution Network Improvement Project 80,Distribution Network Improvement,2021-03-14,2022-06-07,2022-06-07,1651723.32,100185.43,1751908.75,1684729.17,80.1,Completed,Medium,Low,"[""Enhanced safety measures"", ""Technology advancement"", ""Better environmental compliance""]","[""Commissioning"", ""Project planning completed"", ""Project handover"", ""Staff training"", ""Equipment procurement""]","[""Maintenance Team"", ""Customer Service"", ""Local Community"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000081,Infrastructure Upgrade Project 81,Infrastructure Upgrade,2021-02-28,2022-06-23,2022-06-23,2000217.84,116952.64,2117170.48,2288749.18,98.02,Completed,Low,High,"[""Cost savings"", ""Enhanced safety measures"", ""Technology advancement""]","[""Testing phase"", ""Equipment procurement"", ""Installation completed"", ""Design phase completed"", ""Project planning completed""]","[""Local Community"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000082,Facility Expansion Project 82,Facility Expansion,2021-03-06,2021-08-03,2021-08-03,1869512.07,269999.1,2139511.17,2137715.02,94.42,Completed,Medium,Low,"[""Increased capacity"", ""Improved operational efficiency"", ""Better environmental compliance""]","[""Commissioning"", ""Project handover"", ""Equipment procurement"", ""Installation completed"", ""Staff training""]","[""Safety Department"", ""Contractors"", ""Local Community"", ""Customer Service""]"
CAPEX-000083,Technology Implementation Project 83,Technology Implementation,2021-03-06,2022-03-31,,970422.63,87167.2,1057589.83,1107269.98,86.38,On Track,Low,Low,"[""Cost savings"", ""Reduced maintenance costs"", ""Better environmental compliance"", ""Technology advancement""]","[""Installation completed"", ""Testing phase"", ""Commissioning"", ""Design phase completed""]","[""Operations Team"", ""Regulatory Bodies"", ""Environmental Team"", ""Maintenance Team"", ""Local Community""]"
CAPEX-000084,Treatment Plant Modernization Project 84,Treatment Plant Modernization,2021-04-16,2022-08-09,2022-08-09,3397590.5,217166.89,3614757.39,3435958.25,86.06,Completed,Low,Medium,"[""Enhanced safety measures"", ""Better environmental compliance"", ""Increased capacity"", ""Cost savings""]","[""Commissioning"", ""Testing phase"", ""Project handover"", ""Installation completed"", ""Project planning completed"", ""Design phase completed""]","[""Maintenance Team"", ""Operations Team"", ""Contractors"", ""Safety Department"", ""Regulatory Bodies""]"
CAPEX-000085,Infrastructure Upgrade Project 85,Infrastructure Upgrade,2021-04-08,2023-02-27,,3419612.29,307634.39,3727246.68,4074414.94,95.05,On Track,High,Low,"[""Increased capacity"", ""Enhanced safety measures"", ""Technology advancement""]","[""Installation completed"", ""Project handover"", ""Equipment procurement"", ""Commissioning"", ""Testing phase"", ""Staff training""]","[""Safety Department"", ""Contractors"", ""Operations Team"", ""Environmental Team"", ""Regulatory Bodies""]"
CAPEX-000086,Facility Expansion Project 86,Facility Expansion,2021-04-03,2021-08-31,,668739.76,96343.74,765083.5,736299.58,82.83,On Track,High,High,"[""Improved customer service"", ""Better environmental compliance"", ""Improved operational efficiency"", ""Cost savings""]","[""Project handover"", ""Equipment procurement"", ""Project planning completed"", ""Commissioning"", ""Staff training"", ""Testing phase""]","[""Operations Team"", ""Local Community"", ""Safety Department""]"
CAPEX-000087,Distribution Network Improvement Project 87,Distribution Network Improvement,2021-05-19,2022-03-15,,2628370.12,276480.96,2904851.08,2862073.88,86.62,On Track,High,Medium,"[""Reduced maintenance costs"", ""Enhanced safety measures"", ""Improved customer service"", ""Better environmental compliance"", ""Increased capacity""]","[""Installation completed"", ""Project handover"", ""Testing phase"", ""Commissioning""]","[""Operations Team"", ""Regulatory Bodies"", ""Maintenance Team"", ""Local Community""]"
CAPEX-000088,Treatment Plant Modernization Project 88,Treatment Plant Modernization,2021-06-07,2021-12-04,2021-12-04,4017561.55,416576.54,4434138.09,4165495.19,87.32,Completed,Medium,High,"[""Improved customer service"", ""Increased capacity"", ""Better environmental compliance"", ""Cost savings""]","[""Design phase completed"", ""Equipment procurement"", ""Commissioning"", ""Installation completed"", ""Project handover""]","[""Customer Service"", ""Contractors"", ""Local Community"", ""Operations Team"", ""Maintenance Team""]"
CAPEX-000089,Environmental Compliance Project 89,Environmental Compliance,2021-05-23,2022-03-19,,1596362.01,109038.63,1705400.64,1709092.79,93.87,On Track,Low,Low,"[""Cost savings"", ""Better environmental compliance"", ""Enhanced safety measures"", ""Technology advancement"", ""Improved customer service""]","[""Equipment procurement"", ""Installation completed"", ""Project handover"", ""Design phase completed"", ""Testing phase"", ""Commissioning""]","[""Operations Team"", ""Local Community"", ""Safety Department"", ""Contractors""]"
CAPEX-000090,Automation Project Project 90,Automation Project,2021-05-24,2022-02-18,,4094558.11,599373.33,4693931.44,4689209.2,90.11,On Track,Medium,High,"[""Technology advancement"", ""Enhanced safety measures"", ""Improved operational efficiency"", ""Increased capacity""]","[""Installation completed"", ""Equipment procurement"", ""Project planning completed"", ""Commissioning""]","[""Customer Service"", ""Maintenance Team"", ""Environmental Team""]"
CAPEX-000091,Automation Project Project 91,Automation Project,2021-07-06,2023-01-27,2023-01-27,654733.88,40214.19,694948.07,739881.02,95.5,Completed,Low,Low,"[""Technology advancement"", ""Increased capacity"", ""Enhanced safety measures"", ""Better environmental compliance"", ""Improved operational efficiency""]","[""Installation completed"", ""Equipment procurement"", ""Project planning completed"", ""Project handover"", ""Commissioning"", ""Design phase completed""]","[""Contractors"", ""Local Community"", ""Operations Team""]"
CAPEX-000092,Technology Implementation Project 92,Technology Implementation,2021-06-25,2023-03-17,2023-03-17,3476754.58,473203.23,3949957.81,3893210.39,92.21,Completed,High,Low,"[""Improved customer service"", ""Increased capacity"", ""Reduced maintenance costs""]","[""Equipment procurement"", ""Project handover"", ""Staff training"", ""Commissioning"", ""Testing phase"", ""Installation completed""]","[""Maintenance Team"", ""Contractors"", ""Environmental Team"", ""Operations Team""]"
CAPEX-000093,Facility Expansion Project 93,Facility Expansion,2021-07-16,2023-06-06,2023-06-06,721752.03,98597.01,820349.04,855032.55,84.99,Completed,Low,Medium,"[""Reduced maintenance costs"", ""Increased capacity"", ""Improved customer service"", ""Technology advancement""]","[""Commissioning"", ""Installation completed"", ""Project handover"", ""Project planning completed"", ""Testing phase"", ""Design phase completed""]","[""Customer Service"", ""Regulatory Bodies"", ""Safety Department"", ""Environmental Team"", ""Contractors""]"
CAPEX-000094,Environmental Compliance Project 94,Environmental Compliance,2021-07-07,2021-10-05,2021-10-05,4357648.04,587048.11,4944696.14,5411624.09,81.86,Completed,High,High,"[""Better environmental compliance"", ""Technology advancement"", ""Enhanced safety measures"", ""Cost savings""]","[""Staff training"", ""Commissioning"", ""Equipment procurement"", ""Project handover"", ""Design phase completed""]","[""Contractors"", ""Local Community"", ""Safety Department"", ""Operations Team"", ""Customer Service""]"
CAPEX-000095,Treatment Plant Modernization Project 95,Treatment Plant Modernization,2021-07-09,2022-12-01,,179778.63,25698.15,205476.77,203689.87,83.16,On Track,High,High,"[""Increased capacity"", ""Enhanced safety measures"", ""Reduced maintenance costs""]","[""Staff training"", ""Equipment procurement"", ""Project planning completed"", ""Commissioning""]","[""Safety Department"", ""Operations Team"", ""Environmental Team"", ""Contractors"", ""Maintenance Team""]"
CAPEX-000096,Treatment Plant Modernization Project 96,Treatment Plant Modernization,2021-08-10,2022-02-06,,105322.89,10288.01,115610.9,109279.83,82.65,On Track,High,Low,"[""Improved customer service"", ""Cost savings"", ""Improved operational efficiency"", ""Better environmental compliance"", ""Enhanced safety measures""]","[""Design phase completed"", ""Project handover"", ""Installation completed"", ""Project planning completed"", ""Testing phase""]","[""Regulatory Bodies"", ""Safety Department"", ""Local Community""]"
CAPEX-000097,Distribution Network Improvement Project 97,Distribution Network Improvement,2021-07-31,2022-02-26,2022-02-26,3243723.13,381830.68,3625553.8,3671446.94,81.37,Completed,Medium,Medium,"[""Better environmental compliance"", ""Improved customer service"", ""Cost savings"", ""Enhanced safety measures"", ""Technology advancement""]","[""Project handover"", ""Commissioning"", ""Design phase completed"", ""Project planning completed"", ""Testing phase"", ""Installation completed""]","[""Local Community"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000098,Environmental Compliance Project 98,Environmental Compliance,2021-08-13,2022-03-11,2022-03-11,1314153.24,150420.68,1464573.92,1494158.04,84.96,Completed,Low,Low,"[""Increased capacity"", ""Enhanced safety measures"", ""Technology advancement"", ""Improved customer service"", ""Cost savings""]","[""Commissioning"", ""Equipment procurement"", ""Staff training"", ""Project planning completed"", ""Design phase completed"", ""Installation completed""]","[""Maintenance Team"", ""Contractors"", ""Environmental Team"", ""Customer Service""]"
CAPEX-000099,Treatment Plant Modernization Project 99,Treatment Plant Modernization,2021-08-04,2021-11-02,,4935724.41,707745.57,5643469.98,6050718.58,82.64,On Track,Medium,High,"[""Reduced maintenance costs"", ""Cost savings"", ""Better environmental compliance"", ""Improved operational efficiency"", ""Increased capacity""]","[""Design phase completed"", ""Project planning completed"", ""Equipment procurement"", ""Project handover"", ""Commissioning"", ""Installation completed""]","[""Customer Service"", ""Regulatory Bodies"", ""Local Community"", ""Contractors""]"
CAPEX-000100,Safety Enhancement Project 100,Safety Enhancement,2021-09-09,2022-12-03,2022-12-03,503896.28,52232.12,556128.39,531377.09,92.32,Completed,High,High,"[""Reduced maintenance costs"", ""Increased capacity"", ""Technology advancement""]","[""Design phase completed"", ""Equipment procurement"", ""Staff training"", ""Installation completed"", ""Project handover""]","[""Environmental Team"", ""Operations Team"", ""Contractors""]"
CAPEX-000101,Treatment Plant Modernization Project 101,Treatment Plant Modernization,2021-09-01,2023-06-23,2023-06-23,3083278.78,249526.69,3332805.47,3493218.85,94.83,Completed,High,High,"[""Improved operational efficiency"", ""Enhanced safety measures"", ""Better environmental compliance""]","[""Testing phase"", ""Design phase completed"", ""Equipment procurement"", ""Commissioning"", ""Staff training""]","[""Maintenance Team"", ""Local Community"", ""Operations Team"", ""Safety Department"", ""Environmental Team""]"
CAPEX-000102,Facility Expansion Project 102,Facility Expansion,2021-09-03,2022-01-31,2022-01-31,1388453.29,204803.88,1593257.17,1592029.59,92.55,Completed,High,Medium,"[""Reduced maintenance costs"", ""Technology advancement"", ""Enhanced safety measures"", ""Cost savings"", ""Improved operational efficiency""]","[""Design phase completed"", ""Project handover"", ""Staff training"", ""Testing phase"", ""Project planning completed"", ""Installation completed""]","[""Environmental Team"", ""Operations Team"", ""Contractors""]"
CAPEX-000103,Environmental Compliance Project 103,Environmental Compliance,2021-08-30,2022-03-28,,976908.58,142662.08,1119570.65,1187442.49,80.71,On Track,High,Medium,"[""Cost savings"", ""Improved customer service"", ""Reduced maintenance costs""]","[""Design phase completed"", ""Testing phase"", ""Equipment procurement"", ""Project planning completed"", ""Commissioning""]","[""Environmental Team"", ""Local Community"", ""Customer Service""]"
CAPEX-000104,Safety Enhancement Project 104,Safety Enhancement,2021-09-19,2023-02-11,,4343557.93,553164.04,4896721.96,4491650.95,86.21,On Track,High,Medium,"[""Increased capacity"", ""Technology advancement"", ""Reduced maintenance costs""]","[""Installation completed"", ""Project handover"", ""Equipment procurement"", ""Testing phase"", ""Commissioning"", ""Project planning completed""]","[""Environmental Team"", ""Maintenance Team"", ""Operations Team"", ""Contractors"", ""Regulatory Bodies""]"
CAPEX-000105,Environmental Compliance Project 105,Environmental Compliance,2021-11-06,2022-02-04,2022-02-04,4759852.28,238688.52,4998540.81,5347444.94,93.15,Completed,High,Low,"[""Better environmental compliance"", ""Technology advancement"", ""Cost savings"", ""Improved operational efficiency"", ""Enhanced safety measures""]","[""Testing phase"", ""Project planning completed"", ""Commissioning"", ""Design phase completed"", ""Installation completed"", ""Equipment procurement""]","[""Contractors"", ""Regulatory Bodies"", ""Operations Team"", ""Customer Service""]"
CAPEX-000106,Treatment Plant Modernization Project 106,Treatment Plant Modernization,2021-11-02,2022-05-31,2022-05-31,3222356.83,288191.9,3510548.73,3203223.26,91.84,Completed,High,Medium,"[""Improved customer service"", ""Cost savings"", ""Better environmental compliance"", ""Reduced maintenance costs""]","[""Project handover"", ""Equipment procurement"", ""Design phase completed"", ""Project planning completed"", ""Staff training""]","[""Maintenance Team"", ""Contractors"", ""Operations Team""]"
CAPEX-000107,Automation Project Project 107,Automation Project,2021-11-30,2022-12-25,2022-12-25,2091911.5,216706.25,2308617.75,2173626.51,99.29,Completed,Medium,Medium,"[""Enhanced safety measures"", ""Technology advancement"", ""Improved customer service""]","[""Project planning completed"", ""Design phase completed"", ""Equipment procurement"", ""Commissioning"", ""Project handover""]","[""Environmental Team"", ""Safety Department"", ""Contractors"", ""Customer Service"", ""Operations Team""]"
CAPEX-000108,Facility Expansion Project 108,Facility Expansion,2021-11-24,2022-07-22,2022-07-22,252302.26,22818.02,275120.28,288770.56,89.04,Completed,High,Medium,"[""Reduced maintenance costs"", ""Improved operational efficiency"", ""Cost savings""]","[""Installation completed"", ""Design phase completed"", ""Commissioning"", ""Project handover""]","[""Maintenance Team"", ""Customer Service"", ""Local Community"", ""Safety Department""]"
CAPEX-000109,Infrastructure Upgrade Project 109,Infrastructure Upgrade,2021-12-18,2022-09-14,2022-09-14,4522230.8,426641.42,4948872.22,5349808.04,82.58,Completed,High,Low,"[""Improved operational efficiency"", ""Enhanced safety measures"", ""Increased capacity"", ""Better environmental compliance""]","[""Commissioning"", ""Installation completed"", ""Project planning completed"", ""Project handover"", ""Testing phase"", ""Staff training""]","[""Environmental Team"", ""Maintenance Team"", ""Safety Department"", ""Regulatory Bodies""]"
CAPEX-000110,Distribution Network Improvement Project 110,Distribution Network Improvement,2022-01-16,2023-11-07,,3133965.09,233726.35,3367691.44,3308414.82,85.9,On Track,High,Low,"[""Cost savings"", ""Enhanced safety measures"", ""Better environmental compliance"", ""Technology advancement""]","[""Installation completed"", ""Staff training"", ""Testing phase"", ""Project planning completed"", ""Project handover"", ""Equipment procurement""]","[""Contractors"", ""Customer Service"", ""Environmental Team"", ""Safety Department""]"
CAPEX-000111,Environmental Compliance Project 111,Environmental Compliance,2022-01-27,2022-12-23,2022-12-23,981097.78,80339.9,1061437.68,1145453.61,84.38,Completed,High,Medium,"[""Improved customer service"", ""Cost savings"", ""Increased capacity"", ""Enhanced safety measures"", ""Technology advancement""]","[""Installation completed"", ""Staff training"", ""Design phase completed"", ""Equipment procurement""]","[""Operations Team"", ""Local Community"", ""Maintenance Team"", ""Customer Service"", ""Environmental Team""]"
CAPEX-000112,Environmental Compliance Project 112,Environmental Compliance,2022-02-13,2022-10-11,2022-10-11,962891.8,105197.81,1068089.61,1110306.18,96.12,Completed,Low,High,"[""Reduced maintenance costs"", ""Increased capacity"", ""Enhanced safety measures"", ""Better environmental compliance""]","[""Testing phase"", ""Design phase completed"", ""Installation completed"", ""Project planning completed"", ""Project handover"", ""Staff training""]","[""Environmental Team"", ""Operations Team"", ""Customer Service""]"
CAPEX-000113,Automation Project Project 113,Automation Project,2022-01-15,2023-02-09,2023-02-09,4597691.31,322511.67,4920202.98,5133678.42,82.61,Completed,High,Low,"[""Reduced maintenance costs"", ""Cost savings"", ""Improved operational efficiency""]","[""Staff training"", ""Project planning completed"", ""Equipment procurement"", ""Installation completed"", ""Commissioning"", ""Design phase completed""]","[""Regulatory Bodies"", ""Maintenance Team"", ""Local Community"", ""Environmental Team""]"
CAPEX-000114,Environmental Compliance Project 114,Environmental Compliance,2022-02-19,2023-10-12,2023-10-12,3498445.95,499873.77,3998319.73,3777002.5,95.74,Completed,Medium,Medium,"[""Increased capacity"", ""Enhanced safety measures"", ""Cost savings"", ""Improved operational efficiency"", ""Better environmental compliance""]","[""Project planning completed"", ""Design phase completed"", ""Testing phase"", ""Equipment procurement"", ""Commissioning"", ""Staff training""]","[""Maintenance Team"", ""Environmental Team"", ""Contractors"", ""Safety Department"", ""Operations Team""]"
CAPEX-000115,Technology Implementation Project 115,Technology Implementation,2022-02-25,2023-03-22,2023-03-22,922648.34,127816.34,1050464.69,1094366.93,81.77,Completed,Medium,Low,"[""Better environmental compliance"", ""Enhanced safety measures"", ""Improved customer service"", ""Improved operational efficiency""]","[""Testing phase"", ""Commissioning"", ""Project planning completed"", ""Staff training"", ""Project handover""]","[""Contractors"", ""Regulatory Bodies"", ""Environmental Team"", ""Maintenance Team""]"
CAPEX-000116,Safety Enhancement Project 116,Safety Enhancement,2022-03-01,2023-05-25,2023-05-25,1821032.73,159403.66,1980436.39,2094798.66,96.58,Completed,High,Medium,"[""Improved operational efficiency"", ""Reduced maintenance costs"", ""Technology advancement""]","[""Testing phase"", ""Project planning completed"", ""Commissioning"", ""Equipment procurement"", ""Design phase completed""]","[""Safety Department"", ""Regulatory Bodies"", ""Operations Team"", ""Customer Service""]"
CAPEX-000117,Treatment Plant Modernization Project 117,Treatment Plant Modernization,2022-02-24,2023-12-16,2023-12-16,4927852.89,686561.36,5614414.25,5537298.4,94.09,Completed,Low,Medium,"[""Improved operational efficiency"", ""Technology advancement"", ""Reduced maintenance costs""]","[""Installation completed"", ""Project handover"", ""Staff training"", ""Testing phase""]","[""Customer Service"", ""Regulatory Bodies"", ""Safety Department"", ""Local Community"", ""Maintenance Team""]"
CAPEX-000118,Infrastructure Upgrade Project 118,Infrastructure Upgrade,2022-03-28,2023-12-18,2023-12-18,2793346.9,276806.23,3070153.13,2765480.7,81.09,Completed,Medium,High,"[""Technology advancement"", ""Enhanced safety measures"", ""Improved operational efficiency"", ""Improved customer service"", ""Cost savings""]","[""Testing phase"", ""Project planning completed"", ""Installation completed"", ""Commissioning""]","[""Local Community"", ""Environmental Team"", ""Contractors"", ""Safety Department""]"
CAPEX-000119,Safety Enhancement Project 119,Safety Enhancement,2022-04-20,2023-06-14,,4438914.19,385919.94,4824834.13,4596422.59,88.92,On Track,Medium,Low,"[""Improved operational efficiency"", ""Enhanced safety measures"", ""Improved customer service"", ""Technology advancement""]","[""Staff training"", ""Commissioning"", ""Testing phase"", ""Installation completed""]","[""Environmental Team"", ""Customer Service"", ""Operations Team"", ""Contractors"", ""Local Community""]"
CAPEX-000120,Automation Project Project 120,Automation Project,2022-06-02,2023-03-29,2023-03-29,2433685.18,140899.43,2574584.61,2684934.24,98.06,Completed,High,Medium,"[""Reduced maintenance costs"", ""Enhanced safety measures"", ""Cost savings""]","[""Project planning completed"", ""Installation completed"", ""Project handover"", ""Commissioning""]","[""Safety Department"", ""Local Community"", ""Customer Service""]"
CAPEX-000121,Facility Expansion Project 121,Facility Expansion,2022-05-25,2022-10-22,,526434.46,55610.65,582045.11,623559.38,91.04,On Track,High,High,"[""Cost savings"", ""Improved operational efficiency"", ""Better environmental compliance"", ""Enhanced safety measures"", ""Increased capacity""]","[""Design phase completed"", ""Project planning completed"", ""Testing phase"", ""Commissioning"", ""Equipment procurement"", ""Installation completed""]","[""Local Community"", ""Safety Department"", ""Environmental Team"", ""Regulatory Bodies""]"
CAPEX-000122,Automation Project Project 122,Automation Project,2022-05-16,2023-01-11,2023-01-11,1449529.3,93328.33,1542857.63,1602615.98,92.17,Completed,Medium,Medium,"[""Better environmental compliance"", ""Improved operational efficiency"", ""Improved customer service"", ""Technology advancement"", ""Reduced maintenance costs""]","[""Project planning completed"", ""Equipment procurement"", ""Commissioning"", ""Staff training"", ""Testing phase""]","[""Maintenance Team"", ""Local Community"", ""Contractors"", ""Regulatory Bodies""]"
